unit_id,area,neuron_type,n_same_cat_trials,n_diff_cat_trials,same_cat_diff_mean,same_cat_diff_sem,diff_cat_diff_mean,diff_cat_diff_sem,difference_pvalue,same_cat_ratio_mean,diff_cat_ratio_mean,ratio_pvalue,same_cat_correlation,diff_cat_correlation,adaptation_effect,significant_congruence_effect,is_first_cat_selective,is_first_num_selective,is_second_cat_selective,is_second_num_selective
380,A,encoding_only,72,216,0.6008556877760033,0.3018483088753379,-0.059639772594475726,0.16790497194609172,0.05236030419485561,51.925188664720736,28.504016762760084,0.152279528845213,0.09617739921333021,-0.039196579541699327,none,False,False,False,True,False
381,A,encoding_only,72,216,0.1776567961026856,0.0898588837826889,0.05911865708440773,0.05595598842330968,0.2818700880267364,30.938064695299254,27.242349032343682,0.63753578252866,0.028099735782192346,-0.0594548190533062,none,False,False,False,True,False
382,A,encoding_only,72,216,-0.46475548966057023,0.2285711641390487,-0.2368391186438719,0.13446506003800654,0.3952627655254666,33.59781444552559,34.622006098816286,0.9250692251308741,-0.07270768190619567,-0.12125699668979893,none,False,True,True,True,True
383,A,delay_only,72,216,-0.1503539298339735,0.2257527396402139,0.15458071468832826,0.10379758105862995,0.17057212673944097,36.4086258682207,43.229527306275486,0.5800269852479654,0.14921236184595385,0.1232826486169266,none,False,True,True,True,False
384,A,encoding_only,72,216,0.19086309236884297,0.29353477056546623,-0.06336240222274235,0.19359197822328325,0.49926027777941184,32.67958566331937,29.446335166191066,0.83324588754942,0.2650362397258204,0.07139561370656598,none,False,True,False,False,False
387,A,encoding_only,72,216,0.04089050790345236,0.09618681720383879,0.0593814178491885,0.06930308803992764,0.8889486168062164,24.078730512822165,29.54613508647086,0.5357281903225788,0.20669722746276917,0.006273532718821985,none,False,False,False,True,False
388,A,encoding_only,72,216,0.15022570083276351,0.13575190101718426,0.15478511647199977,0.06871007420996719,0.9744912895862493,44.50973341637368,36.82490612619116,0.4520442724865438,-0.07008830277354273,0.01155967357511015,none,False,False,False,False,False
389,A,delay_only,72,216,0.46396151240456274,0.3862020912643352,0.255225963490269,0.19876311907301797,0.6111371504480938,8.283362674472574,9.157959504674231,0.8966179753814001,0.007589721536413534,0.16591064328630828,none,False,True,False,True,False
392,A,encoding_only,72,216,-0.27341413887061666,0.1471954887937323,-0.03184796634328288,0.07811380755678608,0.13159632878829564,26.6361504402202,31.78174018822858,0.5734339349765641,0.25748377607655737,0.10240418134774217,none,False,True,False,True,False
396,H,encoding_only,72,216,0.09568072716901457,0.0757453827952809,0.0911141507229121,0.039320621604054404,0.9550367123707337,21.412375017064832,14.632117569460494,0.31956384578159763,-0.12551599365715638,0.01352282057378694,none,False,False,False,False,False
397,H,encoding_only,72,216,0.3961810706429797,0.20830275455247818,0.08662737309480002,0.10619606465774199,0.15995128030818553,67.83537732368528,41.85386217453642,0.06860475416201699,-0.0526954437454428,-0.006246989452161667,none,False,True,False,True,False
398,H,encoding_only,72,216,0.05467155677644612,0.16838033552948908,0.15483447645381113,0.1366559558376242,0.6959035105151431,29.65815804659999,57.77617228042372,0.11096003485293716,0.128326116986434,-0.0696939031048352,none,False,True,False,True,False
