trial,rt,acc,key,t_pre_stim,t_delay1,t_delay2,first_cat,second_cat,first_num,second_num,first_pic,second_pic,probe_cat,probe_pic,probe_validity,probe_num,correct_answer,rt_sliding_mean,cat_comparison,error_type
175.0,2.8445,1.0,1.0,,,,1.0,4.0,1,5,1012.0,4022.0,1.0,1.0,1.0,1.0,1.0,2.8975400000000016,Different,correct
176.0,2.101,1.0,1.0,,,,4.0,4.0,1,5,4018.0,4023.0,4.0,1.0,1.0,1.0,1.0,2.8250000000000015,Same,correct
177.0,1.985,1.0,1.0,,,,3.0,2.0,1,5,3016.0,2025.0,3.0,1.0,1.0,1.0,1.0,2.829180000000002,Different,correct
178.0,12.0163,1.0,5.0,,,,2.0,2.0,5,1,2028.0,2014.0,2.0,1.0,1.0,5.0,5.0,3.7369100000000017,Same,correct
179.0,2.6931,1.0,5.0,,,,4.0,4.0,5,5,4026.0,4025.0,4.0,2.0,1.0,5.0,5.0,3.624350000000002,Same,correct
180.0,3.266,1.0,1.0,,,,2.0,4.0,1,1,2017.0,4011.0,2.0,1.0,1.0,1.0,1.0,3.6989800000000015,Different,correct
181.0,1.8975,1.0,5.0,,,,2.0,2.0,1,5,2012.0,2024.0,2.0,2.0,1.0,5.0,5.0,3.7167000000000017,Same,correct
182.0,3.3698,1.0,0.0,,,,4.0,1.0,5,1,4021.0,1012.0,4.0,2.0,0.0,0.0,0.0,3.5115800000000013,Different,correct
183.0,5.0033,1.0,0.0,,,,1.0,2.0,5,5,1023.0,2028.0,1.0,2.0,0.0,0.0,0.0,3.8267600000000015,Different,correct
184.0,2.2811,1.0,0.0,,,,1.0,1.0,5,1,1029.0,1016.0,4.0,2.0,0.0,0.0,0.0,3.7457600000000015,Same,correct
185.0,9.0045,0.0,5.0,,,,4.0,1.0,5,1,4027.0,1019.0,1.0,1.0,0.0,0.0,0.0,4.361760000000001,Different,other error
186.0,5.2299,1.0,5.0,,,,3.0,1.0,1,5,3012.0,1028.0,1.0,2.0,1.0,5.0,5.0,4.6746500000000015,Different,correct
187.0,2.4285,1.0,5.0,,,,2.0,1.0,5,1,2023.0,1018.0,2.0,1.0,1.0,5.0,5.0,4.719000000000001,Different,correct
188.0,2.381,1.0,0.0,,,,3.0,1.0,5,5,3021.0,1024.0,1.0,1.0,0.0,0.0,0.0,3.755470000000001,Different,correct
189.0,5.4912,1.0,1.0,,,,3.0,2.0,1,1,3018.0,2019.0,2.0,2.0,1.0,1.0,1.0,4.035280000000001,Different,correct
190.0,4.2878,1.0,5.0,,,,1.0,4.0,5,1,1022.0,4012.0,1.0,1.0,1.0,5.0,5.0,4.137460000000002,Different,correct
191.0,3.4646,1.0,5.0,,,,1.0,1.0,1,5,1019.0,1029.0,1.0,2.0,1.0,5.0,5.0,4.294170000000001,Same,correct
192.0,3.22,1.0,0.0,,,,2.0,2.0,1,5,2017.0,2027.0,3.0,2.0,0.0,0.0,0.0,4.279190000000002,Same,correct
193.0,9.7071,1.0,1.0,,,,4.0,3.0,5,1,4022.0,3018.0,3.0,2.0,1.0,1.0,1.0,4.749570000000001,Different,correct
194.0,4.4157,1.0,5.0,,,,3.0,3.0,5,5,3026.0,3027.0,3.0,1.0,1.0,5.0,5.0,4.963030000000002,Same,correct
195.0,2.7429,1.0,5.0,,,,4.0,2.0,5,1,4023.0,2019.0,4.0,1.0,1.0,5.0,5.0,4.336870000000002,Different,correct
196.0,1.9686,1.0,1.0,,,,1.0,2.0,1,5,1011.0,2026.0,1.0,1.0,1.0,1.0,1.0,4.010740000000001,Different,correct
197.0,1.9378,1.0,1.0,,,,3.0,2.0,5,1,3025.0,2019.0,2.0,2.0,1.0,1.0,1.0,3.9616700000000016,Different,correct
198.0,3.4864,1.0,1.0,,,,3.0,3.0,5,1,3028.0,3019.0,3.0,2.0,1.0,1.0,1.0,4.072210000000002,Same,correct
199.0,1.7794,1.0,1.0,,,,2.0,1.0,1,1,2018.0,1017.0,1.0,2.0,1.0,1.0,1.0,3.7010300000000016,Different,correct
200.0,2.0059,1.0,5.0,,,,4.0,4.0,1,5,4018.0,4029.0,4.0,2.0,1.0,5.0,5.0,3.4728400000000015,Same,correct
201.0,2.2487,1.0,1.0,,,,4.0,4.0,1,1,4019.0,4012.0,4.0,1.0,1.0,1.0,1.0,3.3512500000000016,Same,correct
202.0,4.4563,1.0,5.0,,,,2.0,3.0,5,5,2026.0,3028.0,2.0,1.0,1.0,5.0,5.0,3.4748800000000015,Different,correct
