trial,rt,acc,key,t_pre_stim,t_delay1,t_delay2,first_cat,second_cat,first_num,second_num,first_pic,second_pic,probe_cat,probe_pic,probe_validity,probe_num,correct_answer,rt_sliding_mean,cat_comparison,num_comparison,error_type
127.0,2.316432237625122,1.0,1.0,,,,3.0,4.0,1,1,3013.0,4014.0,4.0,2.0,1.0,1.0,1.0,5.179893755912781,Different,Same,correct
128.0,1.7102549076080322,1.0,1.0,,,,1.0,2.0,1,5,1012.0,2025.0,1.0,1.0,1.0,1.0,1.0,5.061538195610046,Different,Different,correct
129.0,1.789452075958252,1.0,1.0,,,,4.0,1.0,1,5,4011.0,1026.0,4.0,1.0,1.0,1.0,1.0,4.825971293449402,Different,Different,correct
130.0,1.7543487548828125,1.0,5.0,,,,2.0,3.0,5,1,2029.0,3015.0,2.0,1.0,1.0,5.0,5.0,4.614274692535401,Different,Different,correct
131.0,4.496859550476074,0.0,1.0,,,,4.0,2.0,5,5,4022.0,2023.0,4.0,2.0,0.0,0.0,0.0,4.905414748191833,Different,Same,other error
132.0,3.2481017112731934,1.0,0.0,,,,3.0,3.0,5,1,3026.0,3012.0,2.0,1.0,0.0,0.0,0.0,5.105599570274353,Same,Different,correct
133.0,2.167633533477783,1.0,1.0,,,,3.0,2.0,5,1,3023.0,2013.0,2.0,2.0,1.0,1.0,1.0,2.4326791524887086,Different,Different,correct
134.0,4.870483875274658,1.0,0.0,,,,2.0,2.0,1,1,2013.0,2017.0,3.0,1.0,0.0,0.0,0.0,2.573580431938171,Same,Same,correct
135.0,1.889435052871704,0.0,1.0,,,,1.0,4.0,1,1,1018.0,4018.0,1.0,1.0,1.0,5.0,5.0,2.560087275505066,Different,Same,other error
136.0,2.2979555130004883,1.0,1.0,,,,3.0,4.0,1,1,3012.0,4011.0,4.0,2.0,1.0,1.0,1.0,2.654095721244812,Different,Same,correct
137.0,1.1149096488952637,1.0,5.0,,,,2.0,1.0,5,5,2021.0,1027.0,1.0,2.0,1.0,5.0,5.0,2.533943462371826,Different,Same,correct
138.0,2.3186652660369873,1.0,1.0,,,,4.0,4.0,5,1,4029.0,4017.0,4.0,2.0,1.0,1.0,1.0,2.5947844982147217,Same,Different,correct
139.0,4.803951025009155,1.0,0.0,,,,2.0,1.0,1,1,2018.0,1016.0,2.0,2.0,0.0,0.0,0.0,2.896234393119812,Different,Same,correct
140.0,2.981903076171875,0.0,0.0,,,,2.0,3.0,1,5,2018.0,3021.0,3.0,2.0,1.0,5.0,5.0,3.018989825248718,Different,Different,swap error
