trial,rt,acc,key,t_pre_stim,t_delay1,t_delay2,first_cat,second_cat,first_num,second_num,first_pic,second_pic,probe_cat,probe_pic,probe_validity,probe_num,correct_answer,rt_sliding_mean,cat_comparison,num_comparison,error_type
95.0,3.319058418273926,1.0,0.0,,,,3.0,2.0,1,1,3015.0,2012.0,3.0,2.0,0.0,0.0,0.0,3.9248047828674317,Different,Same,correct
96.0,4.6792097091674805,0.0,0.0,,,,1.0,3.0,1,5,1018.0,3026.0,1.0,1.0,1.0,1.0,1.0,4.0192550897598265,Different,Different,swap error
97.0,3.7034735679626465,0.0,0.0,,,,2.0,1.0,1,5,2012.0,1022.0,2.0,1.0,1.0,1.0,1.0,3.94868540763855,Different,Different,swap error
98.0,3.472609043121338,1.0,1.0,,,,4.0,4.0,1,1,4018.0,4016.0,4.0,1.0,1.0,1.0,1.0,3.972902512550354,Same,Same,correct
99.0,2.5490882396698,1.0,5.0,,,,2.0,2.0,1,5,2012.0,2027.0,2.0,2.0,1.0,5.0,5.0,3.6641474962234497,Same,Different,correct
100.0,4.509501695632935,1.0,5.0,,,,2.0,1.0,5,5,2023.0,1024.0,2.0,1.0,1.0,5.0,5.0,3.6009178876876833,Different,Same,correct
101.0,5.170180320739746,1.0,1.0,,,,3.0,1.0,5,1,3024.0,1019.0,1.0,2.0,1.0,1.0,1.0,3.748404121398926,Different,Different,correct
102.0,2.3000683784484863,1.0,5.0,,,,3.0,1.0,1,5,3016.0,1021.0,1.0,2.0,1.0,5.0,5.0,3.7609524488449098,Different,Different,correct
103.0,2.1764655113220215,1.0,5.0,,,,2.0,3.0,1,5,2015.0,3027.0,3.0,2.0,1.0,5.0,5.0,3.418991804122925,Different,Different,correct
104.0,3.065227508544922,1.0,1.0,,,,1.0,2.0,1,1,1018.0,2016.0,2.0,2.0,1.0,1.0,1.0,3.49448823928833,Different,Same,correct
105.0,3.2880454063415527,0.0,0.0,,,,4.0,3.0,1,5,4011.0,3027.0,4.0,1.0,1.0,1.0,1.0,3.4913869380950926,Different,Different,swap error
106.0,6.127006769180298,1.0,0.0,,,,2.0,1.0,5,1,2026.0,1016.0,2.0,2.0,0.0,0.0,0.0,3.6361666440963747,Different,Different,correct
107.0,2.7111403942108154,1.0,5.0,,,,4.0,4.0,5,5,4025.0,4024.0,4.0,1.0,1.0,5.0,5.0,3.5369333267211913,Same,Same,correct
108.0,1.840944766998291,1.0,1.0,,,,4.0,4.0,1,1,4011.0,4012.0,4.0,2.0,1.0,1.0,1.0,3.3737668991088867,Same,Same,correct
109.0,2.107525110244751,0.0,1.0,,,,2.0,2.0,5,1,2022.0,2012.0,2.0,1.0,1.0,5.0,5.0,3.329610586166382,Same,Different,same category
110.0,3.1129374504089355,0.0,5.0,,,,2.0,4.0,1,5,2015.0,4021.0,4.0,1.0,0.0,0.0,0.0,3.189954161643982,Different,Different,swap error
111.0,2.9157118797302246,1.0,1.0,,,,1.0,4.0,1,1,1013.0,4018.0,1.0,1.0,1.0,1.0,1.0,2.96450731754303,Different,Same,correct
112.0,2.3214781284332275,1.0,5.0,,,,1.0,1.0,5,5,1023.0,1025.0,1.0,2.0,1.0,5.0,5.0,2.966648292541504,Same,Same,correct
113.0,6.840348720550537,1.0,0.0,,,,1.0,3.0,5,1,1025.0,3012.0,1.0,2.0,0.0,0.0,0.0,3.4330366134643553,Different,Different,correct
114.0,4.350801229476929,0.0,5.0,,,,1.0,2.0,1,1,1013.0,2019.0,1.0,1.0,1.0,1.0,1.0,3.5615939855575562,Different,Same,unspecified
115.0,5.337376356124878,0.0,0.0,,,,2.0,4.0,1,5,2011.0,4024.0,2.0,1.0,1.0,1.0,1.0,3.7665270805358886,Different,Different,swap error
116.0,3.517078399658203,0.0,0.0,,,,4.0,1.0,1,1,4016.0,1011.0,4.0,1.0,1.0,1.0,1.0,3.5055342435836794,Different,Same,swap error
117.0,4.401569128036499,0.0,0.0,,,,3.0,2.0,5,1,3028.0,2017.0,3.0,1.0,1.0,5.0,5.0,3.6745771169662476,Different,Different,swap error
118.0,3.3614401817321777,1.0,0.0,,,,1.0,1.0,1,5,1018.0,1026.0,4.0,1.0,0.0,0.0,0.0,3.8266266584396362,Same,Different,correct
119.0,2.7294628620147705,1.0,5.0,,,,2.0,1.0,1,5,2011.0,1023.0,1.0,2.0,1.0,5.0,5.0,3.888820433616638,Different,Different,correct
120.0,2.7948243618011475,1.0,5.0,,,,2.0,3.0,5,5,2026.0,3022.0,3.0,2.0,1.0,5.0,5.0,3.8570091247558596,Different,Same,correct
121.0,3.2698562145233154,1.0,5.0,,,,1.0,4.0,5,5,1029.0,4025.0,4.0,2.0,1.0,5.0,5.0,3.8924235582351683,Different,Same,correct
122.0,8.018057823181152,1.0,5.0,,,,3.0,3.0,5,1,3025.0,3011.0,3.0,1.0,1.0,5.0,5.0,4.462081527709961,Same,Different,correct
123.0,4.374934673309326,1.0,5.0,,,,4.0,3.0,5,1,4025.0,3011.0,4.0,1.0,1.0,5.0,5.0,4.21554012298584,Different,Different,correct
124.0,12.628967046737671,0.0,1.0,,,,4.0,1.0,1,1,4015.0,1018.0,1.0,1.0,0.0,0.0,0.0,5.043356704711914,Different,Same,swap error
125.0,2.9501612186431885,1.0,1.0,,,,3.0,3.0,1,5,3013.0,3023.0,3.0,1.0,1.0,1.0,1.0,4.8046351909637455,Same,Different,correct
126.0,1.9414794445037842,1.0,5.0,,,,4.0,4.0,5,5,4023.0,4022.0,4.0,2.0,1.0,5.0,5.0,4.647075295448303,Same,Same,correct
127.0,4.687453269958496,1.0,1.0,,,,3.0,4.0,1,1,3013.0,4014.0,4.0,2.0,1.0,1.0,1.0,4.675663709640503,Different,Same,correct
128.0,2.6893224716186523,0.0,0.0,,,,1.0,2.0,1,5,1012.0,2025.0,1.0,1.0,1.0,1.0,1.0,4.60845193862915,Different,Different,swap error
129.0,8.925384044647217,1.0,1.0,,,,4.0,1.0,1,5,4011.0,1026.0,4.0,1.0,1.0,1.0,1.0,5.228044056892395,Different,Different,correct
130.0,6.978950262069702,1.0,5.0,,,,2.0,3.0,5,1,2029.0,3015.0,2.0,1.0,1.0,5.0,5.0,5.64645664691925,Different,Different,correct
131.0,6.894499063491821,1.0,0.0,,,,4.0,2.0,5,5,4022.0,2023.0,4.0,2.0,0.0,0.0,0.0,6.008920931816101,Different,Same,correct
132.0,3.3752822875976562,1.0,0.0,,,,3.0,3.0,5,1,3026.0,3012.0,2.0,1.0,0.0,0.0,0.0,5.544643378257751,Same,Different,correct
133.0,2.228239059448242,1.0,1.0,,,,3.0,2.0,5,1,3023.0,2013.0,2.0,2.0,1.0,1.0,1.0,5.329973816871643,Different,Different,correct
134.0,2.7742655277252197,1.0,0.0,,,,2.0,2.0,1,1,2013.0,2017.0,3.0,1.0,0.0,0.0,0.0,4.344503664970398,Same,Same,correct
135.0,2.9355905055999756,0.0,1.0,,,,1.0,4.0,1,1,1018.0,4018.0,1.0,1.0,1.0,5.0,5.0,4.3430465936660765,Different,Same,other error
136.0,6.401412487030029,1.0,1.0,,,,3.0,4.0,1,1,3012.0,4011.0,4.0,2.0,1.0,1.0,1.0,4.789039897918701,Different,Same,correct
137.0,4.281466722488403,1.0,5.0,,,,2.0,1.0,5,5,2021.0,1027.0,1.0,2.0,1.0,5.0,5.0,4.748441243171692,Different,Same,correct
