set,category,item_number,item_condition,filename,image_path,resmem_score,memnet_score
stimuli2,Car,15,1,15.jpg,..\psychophysics_WM\stimuli2\Car\15.jpg,0.7991157174110413,0.8075982928276062
stimuli2,Car,16,1,16.jpg,..\psychophysics_WM\stimuli2\Car\16.jpg,0.7804043889045715,0.7761672735214233
stimuli2,Car,17,1,17.jpg,..\psychophysics_WM\stimuli2\Car\17.jpg,0.7241339087486267,0.6590425372123718
stimuli2,Car,18,1,18.jpg,..\psychophysics_WM\stimuli2\Car\18.jpg,0.7876630425453186,0.813795268535614
stimuli2,Car,19,1,19.jpg,..\psychophysics_WM\stimuli2\Car\19.jpg,0.7883396744728088,0.7532635927200317
stimuli2,Car,20,5,20.jpg,..\psychophysics_WM\stimuli2\Car\20.jpg,0.8820084929466248,0.9098029136657715
stimuli2,Car,21,5,21.jpg,..\psychophysics_WM\stimuli2\Car\21.jpg,0.6401910781860352,0.6901075839996338
stimuli2,Car,22,5,22.jpg,..\psychophysics_WM\stimuli2\Car\22.jpg,0.7434088587760925,0.6215199828147888
stimuli2,Car,23,5,23.jpg,..\psychophysics_WM\stimuli2\Car\23.jpg,0.7396528720855713,0.7408945560455322
stimuli2,Car,24,5,24.jpg,..\psychophysics_WM\stimuli2\Car\24.jpg,0.649594247341156,0.6610448360443115
stimuli2,Car,25,5,25.jpg,..\psychophysics_WM\stimuli2\Car\25.jpg,0.6527076363563538,0.8279799818992615
stimuli2,Car,26,5,26.jpg,..\psychophysics_WM\stimuli2\Car\26.jpg,0.7772493362426758,0.8277456164360046
stimuli2,Car,27,5,27.jpg,..\psychophysics_WM\stimuli2\Car\27.jpg,0.7129290103912354,0.7503193616867065
stimuli2,Car,28,5,28.jpg,..\psychophysics_WM\stimuli2\Car\28.jpg,0.7266365885734558,0.7608343362808228
stimuli2,Car,29,5,29.jpg,..\psychophysics_WM\stimuli2\Car\29.jpg,0.783471405506134,0.7904859185218811
stimuli2,Food,10,1,10.jpg,..\psychophysics_WM\stimuli2\Food\10.jpg,0.9266560077667236,0.8456965684890747
stimuli2,Food,11,1,11.jpg,..\psychophysics_WM\stimuli2\Food\11.jpg,0.9239402413368225,0.8314841985702515
stimuli2,Food,12,1,12.jpg,..\psychophysics_WM\stimuli2\Food\12.jpg,0.8851767778396606,0.8501771688461304
stimuli2,Food,13,1,13.jpg,..\psychophysics_WM\stimuli2\Food\13.jpg,0.81138014793396,0.827063798904419
stimuli2,Food,14,1,14.jpg,..\psychophysics_WM\stimuli2\Food\14.jpg,0.8676208853721619,0.8169655799865723
stimuli2,Food,15,1,15.jpg,..\psychophysics_WM\stimuli2\Food\15.jpg,0.8957796096801758,0.881819486618042
