unit_id,area,neuron_type,n_trials,n_stim1_categories,n_stim2_categories,n_stim1_numerosities,n_stim2_numerosities,cat_interaction_pval,cat_main_stim1_pval,cat_main_stim2_pval,cat_model_r2,cat_interaction_significant,num_interaction_pval,num_main_stim1_pval,num_main_stim2_pval,num_model_r2,num_interaction_significant,mixed_model_r2,mixed_cat1_pval,mixed_cat2_pval,mixed_num1_pval,mixed_num2_pval,mixed_selectivity_type,any_interaction_significant,is_first_cat_selective,is_second_cat_selective,is_first_num_selective,is_second_num_selective
35,A,encoding_only,288,4,4,2,2,0.6728567043646038,0.03784259415084877,0.00020597516168265395,0.11539414792599523,False,0.6440432752143836,0.8379238763679411,0.9460174623076935,0.0009256247014957086,False,0.09487819537160969,0.0369360046547533,0.00017665979304351008,0.6172100404580823,0.7871124027575174,none,False,True,True,False,False
36,H,encoding_only,288,4,4,2,2,0.7343033270104157,0.30216756874089595,0.0018482358196513999,0.08437358286292873,False,0.36097721172481323,0.9355885558224664,0.37238088714833184,0.005810318986521956,False,0.06717339932342536,0.33465861120203017,0.0015307486944841247,0.8399265148709303,0.35191523924817825,none,False,False,True,False,False
37,H,encoding_only,288,4,4,2,2,0.6258765120836105,0.5231700804014939,0.0039062491953582345,0.0780753560349624,False,0.07158253504317072,0.5946108727046452,0.7439777719403629,0.01263724753236839,False,0.05528228960520443,0.5351245267942554,0.0037486083535134126,0.5579936515784585,0.8069418801045877,none,False,False,True,False,False
38,H,encoding_only,288,4,4,2,2,0.5274172165492936,0.3013146697191679,0.4356075311328742,0.050580241603172205,False,0.5421061680081739,0.0563682040897462,0.22846666021508813,0.017801517759842178,False,0.03968400594882693,0.2575409760409405,0.4463781701502205,0.04827363270087478,0.23604898163511312,none,False,False,False,False,False
39,H,encoding_only,288,4,4,2,2,0.9098406348890438,0.021799952462238828,0.33577989174794354,0.059497779018718444,False,0.07204442300771623,0.7603285507633641,0.011857785055896613,0.032972411048663,False,0.06554091515656246,0.02817183572002689,0.2912519585531648,0.7343908737559227,0.015695632260497187,none,False,False,False,False,True
40,H,encoding_only,288,4,4,2,2,0.30656999705559806,0.0029582027702509824,0.13448421850317022,0.10098322118339276,False,0.9428103305264735,0.170950387278534,0.16667548042526406,0.014431824563114759,False,0.08125727059938781,0.001956788739214489,0.17185135539412733,0.12272643709509773,0.16349639254370668,none,False,True,False,False,False
41,H,encoding_only,288,4,4,2,2,0.662952819020191,0.5174039857189651,0.13914834074681853,0.050828614596462374,False,0.9489163780553338,0.15413261120051164,0.3103662157499146,0.009956055630411242,False,0.03640984201890851,0.4974259235692998,0.15598612002544002,0.17593264669643635,0.32217658691201323,none,False,False,False,False,False
42,H,encoding_only,288,4,4,2,2,0.3337588625895803,0.10977948262837169,0.8965028552690684,0.0587049623931154,False,0.9108120165904768,0.4224300523079092,0.9134966798974395,0.002420591403556549,False,0.027372226344665296,0.09314409643593258,0.8664183469639044,0.3390535979208271,0.6400952979633795,none,False,False,False,False,False
43,H,encoding_only,288,4,4,2,2,0.7692044005615647,0.4489893682802206,0.7456514978661528,0.034015589693103365,False,0.8032033032238411,0.9625107361626959,0.8712388691486592,0.00032466746839698857,False,0.013813247610011459,0.4499581293446129,0.7441715207787797,0.9780883631186725,0.9814714035032922,none,False,False,False,False,False
44,H,encoding_only,288,4,4,2,2,0.4959957871244117,0.380515501243743,0.05582760894231301,0.0657738855254143,False,0.4275716849997624,0.06802846433014825,0.9707549074748087,0.01389004603112387,False,0.04743292718244907,0.3467912875717689,0.07172544756335461,0.08092878681480035,0.9965137433656442,none,False,False,False,False,False
45,H,encoding_only,288,4,4,2,2,0.6054169771402942,0.7191272793909173,0.5561433370589536,0.03796963606995474,False,0.31699237141117415,0.8048539681359699,0.2580253036888139,0.008077817078308125,False,0.016412299595032542,0.7282731960127297,0.559399064578038,0.6860709333732702,0.2931218165578072,none,False,False,False,False,False
46,H,encoding_only,288,4,4,2,2,0.2918041719552494,0.40229000204808096,0.48253356530213176,0.05638612623613137,False,0.322125226186061,0.15086007603730875,0.3019927287842417,0.015257857896118443,False,0.027078676020905634,0.47655799448872904,0.5930586591415618,0.21826483250622844,0.40344228928644277,none,False,False,False,False,False
47,H,encoding_only,288,4,4,2,2,0.1319750897090445,0.5612492123884163,0.9308099183782037,0.0569006053465273,False,0.3462743516692903,0.030343284220870903,0.7123958320676529,0.02046205303241211,False,0.025100401102340908,0.6153048965877669,0.9387403476473557,0.034510918417443186,0.781558996114233,none,False,False,False,False,False
48,H,encoding_only,288,4,4,2,2,0.41696651581449595,0.0952605313809831,0.0933797027395756,0.075324905881614,False,0.14180806034591184,0.2978318309154514,0.8628348110891206,0.011576549061091068,False,0.052553938963638025,0.07575297431420354,0.06037198314100526,0.14044061076566422,0.6120910743059121,none,False,False,False,False,False
49,AC,encoding_only,288,4,4,2,2,0.31282720107210266,0.7109091842559205,0.08601708555395897,0.06397514259548276,False,0.9597455947985951,0.8096693803179719,0.5828199426988032,0.0013639738422095427,False,0.029962639651892053,0.6910559949405657,0.08145778628812944,0.8289242462031976,0.44487496316606523,none,False,False,False,False,False
50,AC,encoding_only,288,4,4,2,2,0.8993726671728075,0.07055726082818008,0.866009189677746,0.04227728116168861,False,0.46026550075403505,0.5619274921981323,0.2827060608475997,0.007541242714378282,False,0.03326757414696324,0.06367249077689595,0.8931875227499739,0.5650420595517911,0.2759467871690191,none,False,False,False,True,False
51,AC,encoding_only,288,4,4,2,2,0.32201953858614274,0.8967991471663769,0.2560233830631185,0.05258556858135832,False,0.11389342755995802,0.7557999334974161,0.016399177566468217,0.0285803263427149,False,0.03817496095175843,0.7748092105037857,0.2444805268522404,0.8816239858040799,0.01228031711531757,none,False,False,False,False,True
